The Coffee Movement,4.8(724) · $,Coffee shop · 1030 Washington St,"Snug, minimalist cafe for artisan brews",Open ⋅ Closes 4 PM
The Crêpe Café,4.2(545) · $$,Cafe · 333 Jefferson St UNIT 5A,Chill spot for sweet & savory crepes,Open ⋅ Closes 9 PM
The Fresh Cup,4.6(40),Cafe · 798 S Van Ness Ave,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri,
The Law Café,4.7(7),Cafe · 200 McAllister St,Closes soon ⋅ 3 PM ⋅ Opens 7:30 AM Fri,
The Little Spot Cafe,4.7(114) · $,Cafe · 1199 S Van Ness Ave,Eclectic coffee shop with light bites,Open ⋅ Closes 7 PM
The Market Cafe,4.2(40),Cafe · 1355 Market St,Open ⋅ Closes 5 PM,
The Mill,"4.5(1,765) · $$",Coffee shop · 736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
The Mill,"4.5(1,765) · $$",Cafe · 736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 5 PM
The Morning Fix,4.6(68) · $,Cafe · 1008 Bush St,"Pit stop for coffee, bagels & sandwiches",Closed ⋅ Opens 7 AM Fri
Tu Kim Coffee Shop,3.8(30),Cafe · 609 Ellis St,Open ⋅ Closes 5 PM,
Unexpected Era Café,4.8(42),Coffee shop · 614 Polk St,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri,
Verve Coffee Roasters,4.4(670) · $$,Coffee shop · 2101 Market St,Modern coffeehouse with artisanal blends,Open ⋅ Closes 6 PM
Viva Cafe,4.9(80),Cafe · 601 Montgomery St,Open ⋅ Closes 5 PM,
Working Girls' Cafe,4.4(76) · $$,Cafe · 101 Mission St,Outpost for breakfast & lunch staples,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Wrecking Ball Coffee Roasters,4.4(510) · $$,Coffee shop · 2271 Union St,House-roasted coffee blends & pastries,Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
Yu’s Cafe,4.4(32) · $,Bubble Tea · 57 Walter U Lum Pl,Open ⋅ Closes 10 PM,
