Cafe Du Soleil,4.7(164),Cafe · 345 3rd St,Quaint French cafe & brunch spot,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
Cafe Encore,4.2(141) · $$,Cafe · 488 Post St,Open ⋅ Closes 7 PM,
Cafe Francisco,4.4(440) · $,Coffee shop · 2161 Powell St,Mediterranean & American eats plus art,Open ⋅ Closes 3 PM
Cafe Franco,4.8(43),Cafe · 240 Funston Rd,Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri,
Cafe International,4.5(401) · $,Cafe · 508 Haight St,Hybrid coffeehouse & live music hangout,Open ⋅ Closes 4:30 PM
Cafe La Tazita,4.3(431),Cafe · 470 Post St,No-frills breakfast & lunch venue,Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri
Cafe Le,4.7(69),Cafe · 2895 Van Ness Ave,Closes soon ⋅ 2:30 PM ⋅ Opens 7:30 AM Fri,
Cafe Me,4.6(134) · $,Coffee shop · 500 Washington St #102,Daytime stop for coffee & sandwiches,Closed ⋅ Opens 5:30 AM Fri
Cafe Murano,4.3(92) · $,Cafe · 1777 Steiner St,Cozy coffee bar with outdoor seating,Closed ⋅ Opens 7 AM Fri
Cafe New Honolulu,3.8(186) · $,Cafe · 888 Stockton St,Cash-only Chinese restaurant & bakery,Open ⋅ Closes 7:30 PM
Cafe Pacific Plaza,4.8(100) · $,Cafe · 1338 Franklin St,Open ⋅ Closes 3:30 PM,
Cafe Réveille,4.4(725) · $$,Coffee shop · 610 Long Bridge Street,Coffee & brunch in stylish surrounds,Open ⋅ Closes 5 PM
Cafe Réveille,4.4(725) · $$,Cafe · 610 Long Bridge Street,Coffee & brunch in stylish surrounds,Open ⋅ Closes 5 PM
Cafe Réveille,4.1(156),Cafe · 1998 Polk St,Open ⋅ Closes 7:30 PM,
Cafe Suspiro,4.8(166) · $,Coffee shop · 1246 Folsom St,"Hip, scooter-themed espresso bar",Open ⋅ Closes 4 PM
Cafe Valencia,4.5(159),Brazilian · 1252 Valencia St,Local market for Brazilian groceries,Open ⋅ Closes 6 PM
Cafecito,4.7(112) · $,Coffee shop · 406 Ellis St,Colorful cafe for sandwiches & coffee,Open ⋅ Closes 6 PM
Caffe Bianco,4.6(164) · $,Cafe · 39 Sutter St,Classic coffee shop with sandwiches,Closes soon ⋅ 3 PM ⋅ Opens 8:30 AM Fri
Caffe Capriccio,4.6(233) · $,Coffee shop · 2200 Mason St,Relaxed spot for sandwiches & salads,Open ⋅ Closes 4 PM
Caffe Central,4.3(634) · $$,Coffee shop · 133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM
Caffe Central,4.3(634) · $$,Breakfast · 133 O'Farrell St,Gourmet roasts in a cool coffee shop,Open ⋅ Closes 6 PM
Caffe Greco,"4.5(1,185) · $$",Cafe · 423 Columbus Ave,Espresso drinks & Italian sweets,Open ⋅ Closes 10 PM
Caffe Moda,4.2(104) · $,Coffee shop · 160 7th St,Casual spot for breakfast & lunch,Closed ⋅ Opens 7 AM Fri
Caffe Trieste,"4.5(1,318) · $",Coffee shop · 601 Vallejo St.,Historic spot for coffee & live music,Open ⋅ Closes 10 PM
Capital One Café,4.3(191) · $,Coffee shop · 101 Post St,Modern coffeehouse with free WiFi,Open ⋅ Closes 6 PM
Cavalli Cafe,4.5(263) · $,Cafe · 1441 Stockton St,Espresso bar with Italian treats & music,Open ⋅ Closes 11 PM
Chuck Williams Cafe,5.0(1),Cafe · 1101 Van Ness Ave,Open ⋅ Closes 6 PM,
Church Street Cafe,4.3(220) · $,Coffee shop · 260 Church St,Coffee & WiFi in an exposed-brick space,Open ⋅ Closes 5 PM
