0,1,2
WFM Coffee Bar,690 Stanyan St,Your typical inner city coffee local coffee shop. 4 stars because the bathroom was not well maitenanced nor cleaned on my visit.
WFM Coffee Bar,690 Stanyan St,Friendly ...laid back
WFM Coffee Bar,690 Stanyan St,Their coffee doesn't work. They close at 3 not 7
WFM Coffee Bar,690 Stanyan St,Good iced tea and donut :)
