0,1
Piccino Coffee Bar & Bakery,"For a tiny walk in cafe, they sure have a great selection of incredibly tasty baked goods to go with their coffee. Especially good are the ""fig newton"" which eats more like a compote filled soft sugar cookie, & their salted chocolate chip cookie which manages to be sweet and savory all at once. Only a few benches to sit on but your not here for the seating anyway!"
Piccino Coffee Bar & Bakery,"Great neighborhood spot with fantastic coffee and treats. Located in a tiny space, plan on taking your stuff Togo. Facing out to the street there might be a couple small tables inside and on the sidewalk but I have always grabbed and gone."
Piccino Coffee Bar & Bakery,Delicious 🤤 Gibraltar Best in SF ❤️
Piccino Coffee Bar & Bakery,"Such kind words! Thank you for your excellent review, hope to see you again real soon!"
Piccino Coffee Bar & Bakery,"Piccino is a very friendly, authentic and welcoming coffee shop for coffee lovers of all types. The staff is great. The vibe is cool. And most importantly, the coffee tastes amazing."
Piccino Coffee Bar & Bakery,Seems to be hit or miss. Having gone a few times sometimes the drinks are exactly what I would expect other times it's lacking. The pastries however have never disappointed.
Piccino Coffee Bar & Bakery,"Thank you Joe, we appreciate your honesty and hope we can deliver a more consistent experience for you in the future."
Piccino Coffee Bar & Bakery,"I typically love piccino. During covid, I appreciate the spacing between the tables and safety measures. Service is great. The -1 star is because I found the food underwhelming"
Piccino Coffee Bar & Bakery,We think you should come try us again!! but so appreciate the feedback we are always trying to do better.
Piccino Coffee Bar & Bakery,"Lovely hot chocolate, not like the overly sweet stuff you get from most coffee shops"
Piccino Coffee Bar & Bakery,"Thank you Min, so glad you liked it! We really appreciate this review and hope to see you soon for another hot chocolate now that the seasons are beginning to change! :)"
Piccino Coffee Bar & Bakery,"Love this place, we show up every day for a coffee and a pastry and love it"
Piccino Coffee Bar & Bakery,"Thank you so much Machiel, we really appreciate your business and the awesome review!"
Piccino Coffee Bar & Bakery,"Piccino is a beautiful building with charm. I enjoyed a great cappuccino and savory vegan scone, with a friendly face!"
Piccino Coffee Bar & Bakery,Thank you George! We appreciate it:)
Piccino Coffee Bar & Bakery,Wow. The baker has tuned the flavors to perfection! Scones are among the best I've had.
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,Great coffee - love the custom Sightglass Coffee Piccino blend. The employees are always friendly too!
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,I really love this place theyre coffee is on point and their unique pastries baked there are bomb! Like wow
Piccino Coffee Bar & Bakery,thank you! we try! we bake everything inhouse!
Piccino Coffee Bar & Bakery,"Prices are steep, but the coffee is great!"
Piccino Coffee Bar & Bakery,"Thank you Sundar, so glad you like our coffee. We source our beans from Sightglass coffee roasters here in San Francisco, they actually make a special roast just for us here at the Piccino Coffee Bar! The good stuff carries a price of course, but you will find our prices are competitive with other local coffee bars here in SF :)"
Piccino Coffee Bar & Bakery,"I always come by a grab a latte when I'm visiting the 22nd Street station. Great coffee, fast and friendly. 👌 …"
Piccino Coffee Bar & Bakery,"Great coffee and pastry options. Only takeout,  no outdoor seating options."
Piccino Coffee Bar & Bakery,"Thank you Orit, we truly appreciate your kind words & great review!"
Piccino Coffee Bar & Bakery,"Really tasty espresso, those baristas know what's up"
Piccino Coffee Bar & Bakery,"We so so appreciate this review, thank you Tatiana! Hope to see you again soon!"
Piccino Coffee Bar & Bakery,Stopped by for a quick cortado tonight and it was fantastic. I will definitely stop by next time I'm in the area.
Piccino Coffee Bar & Bakery,The coffee here is simply great!
Piccino Coffee Bar & Bakery,"We are so glad you enjoyed it, and hope to see you again real soon!"
Piccino Coffee Bar & Bakery,"Love this cute little place - great and fun staff, delicious coffee and coffee treats!"
Piccino Coffee Bar & Bakery,"Coffee is amazing but the seating is the worst, no atmosphere to speak of or community blar blar"
Piccino Coffee Bar & Bakery,"Any place that serves Sightglass is obviously great, they have great granola as well!"
Piccino Coffee Bar & Bakery,"Small, cozy place, off from its main restaurant. Great sandwiches during lunch time"
Piccino Coffee Bar & Bakery,I like this place. Good for a quick shot of caffeine and a good bite.
Piccino Coffee Bar & Bakery,"Thank you so much Skyler, truly appreciate it. Hope to see you again real soon!"
Piccino Coffee Bar & Bakery,Cute little cafe with amazing pastries.
Piccino Coffee Bar & Bakery,Very good coffee! Always impressed
Piccino Coffee Bar & Bakery,thank you!!
Piccino Coffee Bar & Bakery,"No room to sit and not allowed to sit at restaurant next door, even though same establishment"
Piccino Coffee Bar & Bakery,Best coffee in Dog Patch.
Piccino Coffee Bar & Bakery,"The highest praise! Thank you Simon, we really appreciate this. See you again real soon!"
Piccino Coffee Bar & Bakery,didn't like their coffee or cuppuccino.
Piccino Coffee Bar & Bakery,"Hi Bassam, What day were you in? Did you tell the cashier? We are always happy to make another if it did not met your standards."
Piccino Coffee Bar & Bakery,Big portion tasty food low price
Piccino Coffee Bar & Bakery,A cozy neighborhood coffee bar with delicious baked goods.
Piccino Coffee Bar & Bakery,The breakfast sandwich was cold?!
Piccino Coffee Bar & Bakery,We are really sorry about this and hope we can make it right for you next time around!
Piccino Coffee Bar & Bakery,"Fast, friendly and tasty. Coffee 2.50"
Piccino Coffee Bar & Bakery,"Will go back, great coffee!"
Piccino Coffee Bar & Bakery,Quaint little Cafe with Sightglass coffee.
Piccino Coffee Bar & Bakery,Little gem with terrific latte!
Piccino Coffee Bar & Bakery,Awe thank you so much Lena! Really appreciate you kind words and excellent review. Hope to see you again soon!
Piccino Coffee Bar & Bakery,Great flat white
Piccino Coffee Bar & Bakery,Thank you kindly!
Piccino Coffee Bar & Bakery,Best Mocha on the block. Seriously!
Piccino Coffee Bar & Bakery,Terrific coffee and service!
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,A consistently great espresso.
Piccino Coffee Bar & Bakery,Friendly knowledgeable staff.
Piccino Coffee Bar & Bakery,"Thank you so much Eric, hope to see you again soon!"
Piccino Coffee Bar & Bakery,reliably an A+ latte.
Piccino Coffee Bar & Bakery,Barely any place to sit inside
Piccino Coffee Bar & Bakery,It’s true! But we built this as a simple grab and go place. 
Piccino Coffee Bar & Bakery,Excellent
Piccino Coffee Bar & Bakery,"Why thank you! Really appreciate your review, and hope to see you again real soon."
Piccino Coffee Bar & Bakery,Great coffee and service
Piccino Coffee Bar & Bakery,Cappuccino!
Piccino Coffee Bar & Bakery,Love the Cappuccino
Piccino Coffee Bar & Bakery,Unfriendly people
Piccino Coffee Bar & Bakery,What the coffee!
Piccino Coffee Bar & Bakery,Hope to grab those extra two stars next time you come in. Thanks for the review!
Piccino Coffee Bar & Bakery,Thank you come again!!
Piccino Coffee Bar & Bakery,"Thank you for your review, hopefully next time we'll get those two extra stars!"
Piccino Coffee Bar & Bakery,"Thank you so much, we really appreciate your review!"
Piccino Coffee Bar & Bakery,Thank you! What could we improve on!?
Piccino Coffee Bar & Bakery,Thank you!!
Piccino Coffee Bar & Bakery,Thank you!!
Piccino Coffee Bar & Bakery,Thank you so much for your great review!
Piccino Coffee Bar & Bakery,Thank you Raveesh! We really appreciate the great review :)
Piccino Coffee Bar & Bakery,always looking for feedback?
Piccino Coffee Bar & Bakery,Always appreciated!!
Piccino Coffee Bar & Bakery,thank you!!
Piccino Coffee Bar & Bakery,Thank you!!
Piccino Coffee Bar & Bakery,Thank you!
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,Thank you!
Piccino Coffee Bar & Bakery,Thank you for the great review!
Piccino Coffee Bar & Bakery,We try!! 
Piccino Coffee Bar & Bakery,Thank you Colin!
Piccino Coffee Bar & Bakery,Thank you for your review - we hope to get those remaining two stars next time you come in!
Piccino Coffee Bar & Bakery,anything we can do better at?
Piccino Coffee Bar & Bakery,"Hope we can nail those last two stars next time you're in. Until then, thank you for your review!"
Piccino Coffee Bar & Bakery,Thank you for your excellent review!
Piccino Coffee Bar & Bakery,Thank you for the excellent review! :)
Piccino Coffee Bar & Bakery,Thank you!!
Piccino Coffee Bar & Bakery,thank you!!
Piccino Coffee Bar & Bakery,Thank you kindly Pawan!
Piccino Coffee Bar & Bakery,Thank you so much for the great review!
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,anything we can do better?
Piccino Coffee Bar & Bakery,Thank you so much!
Piccino Coffee Bar & Bakery,Thank you so much for the great review!
Piccino Coffee Bar & Bakery,thank you!
Piccino Coffee Bar & Bakery,"Hope we can get those remaining to stars next time you come in. Until then, thanks for your review!"
Piccino Coffee Bar & Bakery,Thank you! We really appreciate you great review :)
