0,1
Angel Cafe & Deli,Thank you Yurii we appreciate your business
Angel Cafe & Deli,This unassuming little Cafe is more than worth your time and money! I ordered a homemade cheesecake and a lox bagel...the owner offered to set up a small table and a chair so that I could eat my breakfast before I walked back to my hotel with the cheesecake. The lox bagel was delicious and so was the maple bacon cronut. Hands down the best cronut I have ever had (it had cream inside!!) and hands down my new favorite cafe in the US!
Angel Cafe & Deli,"What a friendly place to visit. The Heavenly on an everything bagel was very good. Most bagel sandwiches slide apart, but this one was expertly  put together AND loaded with plenty of delicious veggies. Just a very warm and happy place to get a quick yummy bite."
Angel Cafe & Deli,"Amazing food, low key chill, angels everywhere"
Angel Cafe & Deli,We appreciate your awesome feedback Adriano. Thank you 
Angel Cafe & Deli,"Friendly place in the tenderloin district in SF.  Had a great breakfast sandwich on a garlic bagel, juice and a latte.  Clean and hospitable & friendly.  Easy to get in and out - looks like the regulars have standing orders - which bodes well for your experience as people seem to come again and again."
Angel Cafe & Deli,Their breakfast bagel is great - egg was perfectly cooked and bacon perfectly crispy. Try it with the garlic bagel!
Angel Cafe & Deli,We are so glad that you liked our breakfast Thuy thank you for your business
Angel Cafe & Deli,"Friendly service,  great prices,  and delicious food.   They offer a wide range of items.... try the deviled eggs, super good.   I haven't tried breakfast here but many people have told me it's fantastic.   Try this place,  seriously.... I'm glad I stopped this afternoon"
Angel Cafe & Deli,"Customer Service here is outstanding! I called for an early event order and not only was Nagham able to accommodate the number of orders, he also delivered the large order to the catered event. Thank you so much Nagham! All the sandwiches were delicious! I appreciate your outstanding service! Will definitely recommend this place !!👍 …"
Angel Cafe & Deli,"The food at Angels Cafe was really good. My wife, kids, and I we happy with what we had. The area had a lot of homeless which I was grateful we were able to sit inside. There are only a few seats inside and a few outside. The owner was very kind and seamed frustrated with the homeless and went outside a few times to protect some of the people seated outside from them."
Angel Cafe & Deli,Wish we had found this place sooner! Delicious food. Great clean little spot to eat. Owner is very nice. Can't wait to come back.
Angel Cafe & Deli,thank you Mgm we appreciate your help
Angel Cafe & Deli,"This place is rad for breakfast - solid bagels, with peanut butter art!"
Angel Cafe & Deli,"Came in for coffee first thing in the morning, and one of the ladies filled up a large cup right away, not bothering with charging me yet. After a second cup, I ordered a breakfast bagel sandwich, and it was quite tasty, served hot, fresh and fast. It was a good experience, if you're in the neighborhood, this place is a winner."
Angel Cafe & Deli,"Good coffee and a local favorite, I'm here multiple times a week whether for breakfast or for lunch. Closes at 2 which sucks when I'm running late but all good."
Angel Cafe & Deli,Eric we really appreciate you and we are very glad that you like our food Thank you
